Home Ownership,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default,Annual_Income_nan,Years_in_current_job_nan,Months_since_last_delinquent_nan,Bankruptcies_nan,Credit_Score_nan,Home Mortgage,Own Home,Rent,median_loan_amount,annual_income_cat,Id
Own Home,10.0,0.0,11.0,26.3,685960.0,1.0,17.00315366972477,1.0,Short Term,99999999.0,47386.0,7914.0,749.0,0,1,1,1,0,0,0,1,0,250118.0,1,0
Home Mortgage,8.0,0.0,11.0,35.0,1182434.0,0.0,0.0,0.0,Short Term,99999999.0,308389.0,13651.0,742.0,0,0,0,1,0,0,1,0,0,250118.0,1,1
Own Home,6.0,0.0,8.0,22.5,147400.0,1.0,17.00315366972477,1.0,Short Term,121396.0,95855.0,11338.0,694.0,0,0,0,1,0,0,0,1,0,250118.0,1,2
Home Mortgage,8.0,0.0,13.0,13.6,385836.0,1.0,17.00315366972477,0.0,Short Term,125840.0,93309.0,7180.0,719.0,0,0,0,1,0,0,0,0,1,250118.0,1,3
Home Mortgage,10.0,0.0,9.0,20.3,388124.0,0.0,73.0,0.0,Short Term,99999999.0,51623.0,2317.0,745.0,0,0,0,0,0,0,1,0,0,250118.0,3,4
Home Mortgage,10.0,0.0,13.0,12.0,330374.0,0.0,18.0,0.0,Short Term,250888.0,89015.0,19761.0,705.0,1,0,0,0,0,0,0,0,1,250118.0,1,5
Home Mortgage,5.0,0.0,17.0,15.7,0.0,1.0,17.00315366972477,1.0,Short Term,129734.0,19.0,17.0,731.0,0,0,0,1,0,1,1,0,0,250118.0,2,6
Home Mortgage,0.5,0.0,7.0,11.5,256322.0,0.0,0.0,0.0,Short Term,220858.0,187492.0,14592.0,731.0,0,0,0,1,0,1,1,0,0,250118.0,2,7
Home Mortgage,4.0,0.0,12.0,17.6,839080.0,0.0,0.0,0.0,Short Term,441100.0,402914.0,15528.0,737.0,0,0,0,1,0,0,1,0,0,250118.0,3,8
Home Mortgage,10.0,0.0,8.0,14.0,443608.0,0.0,0.0,0.0,Short Term,337766.0,315305.0,19446.0,706.0,0,0,0,1,0,0,1,0,0,250118.0,1,9
Own Home,7.0,0.0,11.0,17.7,1602546.0,0.0,0.0,0.0,Short Term,185262.0,1374327.0,58352.0,748.0,0,0,0,1,0,0,0,1,0,250118.0,3,10
Home Mortgage,10.0,0.0,9.0,18.4,296186.0,0.0,0.0,0.0,Short Term,145134.0,41439.0,12939.0,727.0,0,0,0,1,0,0,0,0,1,250118.0,1,11
Home Mortgage,2.0,0.0,6.0,12.5,199078.0,0.0,0.0,0.0,Short Term,309672.0,120517.0,14451.0,712.0,1,0,0,1,0,0,0,0,1,250118.0,1,12
Home Mortgage,6.0,0.0,7.0,34.4,401104.0,0.0,45.0,0.0,Short Term,324852.0,183597.0,7786.0,719.0,1,0,0,0,0,0,1,0,0,250118.0,1,13
Home Mortgage,10.0,0.0,6.0,28.3,288442.0,0.0,0.0,0.0,Short Term,99999999.0,157700.0,5063.0,738.0,0,1,1,1,0,0,0,0,1,250118.0,1,14
Own Home,10.0,0.0,17.0,14.8,700040.0,0.0,17.0,0.0,Short Term,174878.0,168074.0,17132.0,731.0,1,0,0,0,0,1,0,1,0,250118.0,2,15
Own Home,10.0,0.0,12.0,25.0,1216336.0,0.0,61.0,0.0,Short Term,467676.0,818311.0,37530.0,731.0,0,1,1,0,0,1,0,1,0,250118.0,2,16
Home Mortgage,10.0,0.0,3.0,29.8,1231912.0,0.0,0.0,0.0,Short Term,108042.0,1036279.0,22225.0,720.0,0,0,0,1,0,0,0,0,1,250118.0,2,17
Home Mortgage,2.0,0.0,20.0,15.8,748880.0,0.0,0.0,0.0,Short Term,66110.0,285874.0,17046.0,742.0,0,0,0,1,0,0,1,0,0,250118.0,1,18
Home Mortgage,8.0,0.0,7.0,14.5,328394.0,0.0,0.0,0.0,Short Term,99999999.0,195966.0,6041.0,734.0,0,0,0,1,0,0,0,0,1,250118.0,1,19
Home Mortgage,10.0,0.0,12.0,19.5,533808.0,0.0,0.0,0.0,Short Term,155782.0,262314.0,13807.0,740.0,0,0,0,1,0,0,1,0,0,250118.0,1,20
Home Mortgage,10.0,0.0,9.0,18.6,186494.0,0.0,6.0,0.0,Short Term,357918.0,72808.0,22352.0,731.0,1,0,0,0,0,1,0,0,1,250118.0,2,21
Home Mortgage,7.0,0.0,8.0,14.0,225016.0,1.0,17.00315366972477,1.0,Short Term,99999999.0,147687.0,6128.0,719.0,0,0,0,1,0,0,0,0,1,250118.0,1,22
Home Mortgage,10.0,0.0,19.0,25.0,1303082.0,0.0,14.0,0.0,Short Term,265188.0,495178.0,28247.0,726.0,1,0,0,0,0,0,1,0,0,250118.0,3,23
