iter	F1	Logloss
0	0.7112594192	0.6830036111
1	0.7105489672	0.6764161705
2	0.7110922286	0.6681142785
3	0.7134880399	0.6628763303
4	0.7140277189	0.6589177477
5	0.7154183352	0.6522135595
6	0.7163817091	0.6469352006
7	0.7177199281	0.6432467923
8	0.7162437445	0.6396713378
9	0.7167152195	0.6372193212
10	0.7169173865	0.6351940576
11	0.7167674322	0.6322028768
12	0.7163690749	0.6296709214
13	0.7170026477	0.6254937285
14	0.716466614	0.6234790826
15	0.7150606677	0.6216373299
16	0.7147286034	0.619980468
17	0.7154629491	0.6177722906
18	0.7143785482	0.6160446517
19	0.7147331094	0.6148910765
20	0.7143393328	0.6123118116
