iter	Passed	Remaining
0	45	13699
1	90	13447
2	124	12323
3	175	13007
4	208	12305
5	228	11183
6	260	10901
7	280	10254
8	319	10330
9	369	10710
10	406	10682
11	445	10702
12	464	10250
13	482	9860
14	493	9380
15	515	9145
16	529	8806
17	548	8597
18	570	8438
19	588	8243
20	607	8065
21	627	7926
22	635	7656
23	657	7561
24	674	7419
25	692	7302
26	712	7208
27	732	7116
28	752	7030
29	771	6940
30	788	6846
31	805	6748
32	823	6665
33	845	6613
34	855	6480
35	876	6426
36	894	6356
37	911	6287
38	930	6230
39	955	6211
40	975	6159
41	993	6101
42	1012	6051
43	1033	6011
44	1055	5982
45	1074	5930
46	1090	5868
47	1106	5806
48	1123	5752
49	1141	5708
50	1173	5729
